Film,Genre,Year of release
Dolphin Tale,Drama,2011
Don't Be Afraid Of The Dark,Horror,2010
Doomsday,Action,2008
Doubt,Drama,2008
Drag Me to Hell ,Horror,2009
Dragon Wars (aka D-War),Action,2007
Dragonball Evolution ,Action,2009
Dream House,Horror,2011
Drillbit Taylor,Comedy,2008
Drive,Thriller,2011
Drive Angry,Action,2011
Due Date,Comedy,2010
Duplicity ,Romance,2009
Dylan Dog: Dead of Night,Horror,2010
Eagle Eye,Action,2008
Easy A,Comedy,2010
"Eat Pray Love	",Drama,2010
Enchanted,Comedy,2007
Epic Movie,Comedy,2007
Evan Almighty,Comedy,2007
Everybody's Fine ,Drama,2009
Everything Must Go,Drama,2010
Extract ,Comedy,2009
"Extraordinary Measures	",Drama,2010
Extremely Loud and Incredibly Close,Drama,2011
Fame,Comedy,2009
Fantastic Four: Rise of the Silver Surfer,Action,2007
Fast and Furious ,Action,2009
Fast Five,Action,2011
"Faster	",Action,2010
Final Destination 5,Horror,2011
Fired Up! ,Comedy,2009
Fireproof,Drama,2008
First Sunday,Comedy,2008
Fool's Gold,Adventure,2008
Footloose,Drama,2011
For Colored Girls,Drama,2010
Forgetting Sarah Marshall,Comedy,2008
Four Christmases,Comedy,2008
Friday the 13th,Horror,2009
Friends With Benefits,Romance,2011
Fright Night,Horror,2011
From Paris with Love,Action,2010
Funny People ,Comedy,2009
"Furry Vengeance	",Comedy,2010
G-Force ,Action,2009
G.I. Joe: The Rise of Cobra ,Action,2009
Gamer ,Action,2009
Get Him to the Greek,Comedy,2010
Get Smart,Action,2008
Ghost Rider,Action,2007
Ghost Town,Comedy,2008
Ghosts of Girlfriends Past ,Comedy,2009
Going the Distance,Comedy,2010
Good Luck Chuck,Comedy,2007
Gran Torino,Drama,2008
Green Lantern,Action,2011
Green Zone,Action,2010
Greenberg,Comedy,2010
Grindhouse,Action,2007
"Grown Ups	",Comedy,2010
Gulliver's Travels,Comedy,2010
Hachiko: A Dog's Story,Drama,2009
Hall Pass,Comedy,2011
Halloween,Horror,2007
Halloween II,Horror,2009
Hancock,Action,2008
Hanna,Action,2011
Hannah Montana: The Movie ,Comedy,2009
Harold and Kumar Escape from Guantanamo Bay,Adventure,2008
Harry Potter and the Deathly Hallows Part 1,Adventure,2010
Harry Potter and the Half-Blood Prince ,Adventure,2009
Harry Potter and the Order of the Phoenix,Adventure,2007
He's Just Not That Into You ,Comedy,2009
Hellboy II: The Golden Army,Action,2008
Hesher,Drama,2010
High School Musical 3: Senior Year,Comedy,2008
Hitman,Action,2007
Horrible Bosses,Comedy,2011
Hostel: Part II,Horror,2007
Hot Tub Time Machine,Adventure,2010
Hotel for Dogs ,Comedy,2009
Hugo,Adventure,2011
I Am Legend,Thriller,2007
I Am Number Four,Thriller,2011
I Love You Beth Cooper ,Comedy,2009
I Love You Phillip Morris,Comedy,2009
"I Love You, Man ",Comedy,2009
I Now Pronounce You Chuck and Larry,Comedy,2007
I'm Still Here,Comedy,2010
Imagine That ,Comedy,2009
Immortals,Action,2011
In the Land of Women,Comedy,2007
In Time,Thriller,2011
Inception,Action,2010
Indiana Jones and the Kingdom of the Crystal Skull,Action,2008
Inglourious Basterds ,Adventure,2009
Inkheart ,Adventure,2008
Insidious,Horror,2008
Into the Wild,Drama,2007
Iron Man,Action,2008
Iron Man 2,Action,2010
It's Complicated ,Comedy,2009
J.Edgar,Drama,2011
Jack and Jill,Comedy,2011
Jane Eyre,Romance,2011
Jennifer's Body ,Comedy,2009
Johnny English Reborn,Comedy,2011
Jonah Hex,Action,2010
Journey to the Center of the Earth,Action,2008
Jumper,Action,2008
Juno,Comedy,2007
Just Go With It,Romance,2011
Just Wright,Comedy,2010
Kick-Ass,Action,2010
Killer Elite,Action,2011
Killers,Action,2010
Kit Kittredge: An American Girl,Drama,2008
Knight and Day,Action,2010
Knocked Up,Comedy,2007
Knowing ,Drama,2009
Land of the Lost ,Drama,2009
Larry Crowne,Drama,2011
Leap Year,Comedy,2010
Leatherheads,Comedy,2008
Legion,Action,2010
Letters to Juliet,Comedy,2010
License to Wed,Comedy,2007
Life as We Know It,Comedy,2010
Limitless,Thriller,2011
Lions for Lambs,Drama,2007
Little Fockers,Comedy,2010
Live Free or Die Hard,Action,2007
Love & Other Drugs,Comedy,2010
Love Happens ,Drama,2009
MacGruber,Action,2010
Machete,Action,2010
Machine Gun Preacher,Action,2011
Mad Money,Comedy,2008
Made of Honor,Comedy,2008
Mamma Mia!,Comedy,2008
Margin Call,Thriller,2011
Marley and Me,Comedy,2008
Marmaduke,Comedy,2010
Max Payne,Action,2008
Meet Dave,Adventure,2008
Meet the Spartans,Comedy,2008
Michael Clayton,Thriller,2007
Midnight in Paris,Romance,2011
Miracle at St. Anna,Action,2008
Mirrors,Horror,2008
Miss Pettigrew Lives for a Day,Comedy,2008
Mission Impossible 4,Action,2011
Moneyball,Drama,2011
Monte Carlo,Romance,2011
Morning Glory,Comedy,2010
Mother and Child,Drama,2009
Mr. Brooks,Thriller,2007
Mr. Popper's Penguins,Comedy,2011
Music and Lyrics,Romance,2007
My Best Friend's Girl,Comedy,2008
My Life in Ruins ,Comedy,2009
My Sister's Keeper ,Drama,2009
My Soul to Take,Horror,2010
My Week with Marilyn,Drama,2011
Nancy Drew,Thriller,2007
Nanny McPhee Returns,Comedy,2010
National Treasure: Book of Secrets,Thriller,2007
Never Back Down,Action,2008
Never Let Me Go,Drama,2010
New Year's Eve,Romance,2011
Next,Thriller,2007
Next Day Air ,Action,2009
Nick and Norah's Infinite Playlist,Comedy,2008
Night at the Museum: Battle of the Smithsonian ,Action,2009
Nights in Rodanthe,Drama,2008
Nim's Island,Adventure,2008
Nine ,Drama,2009
Ninja Assassin ,Action,2009
No Country for Old Men,Drama,2007
No Reservations,Comedy,2007
No Strings Attached,Comedy,2011
Norbit,Comedy,2007
Not Easily Broken ,Drama,2009
Observe and Report ,Comedy,2009
Obsessed ,Drama,2009
Ocean's 13,Thriller,2007
Old Dogs ,Comedy,2009
One Day,Romance,2011
One Missed Call,Horror,2008
Orphan ,Horror,2009
Our Family Wedding,Comedy,2010
Our Idiot Brother,Comedy,2011
Over Her Dead Body,Comedy,2008
P.S. I Love You,Romance,2007
Pandorum ,Action,2009
Paranormal Activity ,Horror,2007
Paranormal Activity 2,Horror,2010
Paranormal Activity 3,Horror,2011
Pathfinder: Legend of the Ghost Warrior,Action,2007
Paul,Comedy,2011
Paul Blart: Mall Cop ,Action,2009
Penelope,Comedy,2008
Percy Jackson & the Olympians: The Lightning Thief,Action,2010
Pineapple Express,Action,2008
Piranha 3-D,Comedy,2010
"Pirate Radio (The Boat that Rocked, UK)",Comedy,2009
Pirates of the Caribbean: On Stranger Tides,Action,2011
Pirates of the Caribbean: At World's End,Action,2007
Please Give,Comedy,2010
Post Grad ,Comedy,2009
Predators,Action,2010
Premonition,Drama,2007
Priest,Action,2011
Prince of Persia: The Sands of Time,Action,2010
Prom Night,Horror,2008
Punisher: War Zone,Action,2008
Push ,Action,2009
Quantum of Solace,Action,2008
Quarantine,Horror,2008
Race to Witch Mountain ,Action,2009
Rachel Getting Married,Drama,2008
Rambo,Action,2008
Real Steel,Action,2011
Red,Action,2010
Red Riding Hood,Horror,2011
Red State,Horror,2011
Remember Me,Drama,2010
Repo Men,Action,2010
Resident Evil: Afterlife,Action,2010
Rise of the Planet of the Apes,Action,2011
Robin Hood,Action,2010
Role Models,Comedy,2008
Rush Hour 3,Action,2007
Salt,Action,2010
Sanctum,Action,2011
Saw IV,Horror,2007
Saw VI ,Horror,2009
Scott Pilgrim vs. the World,Action,2010
Scream 4,Horror,2011
Season Of The Witch,Action,2011
Semi-Pro,Comedy,2008
Seven Pounds,Drama,2008
Sex and the City,Comedy,2008
Sex and the City 2,Comedy,2010
Sex Drive,Adventure,2008
Shame,Drama,2011
Shark Night 3D,Horror,2011
She's Out of My League,Comedy,2010
Sherlock Holmes ,Action,2009
Sherlock Holmes 2,Action,2011
Shoot 'Em Up,Action,2007
Shooter,Action,2007
Shutter,Horror,2008
Shutter Island,Drama,2010
Skyline,Action,2010
Smart People,Comedy,2008
Solitary Man,Comedy,2009
Something Borrowed,Romance,2011
Sorority Row ,Horror,2009
Soul Men,Comedy,2008
Soul Surfer,Drama,2011
Source Code,Thriller,2011
Speed Racer,Action,2008
Spider-Man 3,Action,2007
Spy Kids: All The Time in the World,Action,2011
Star Trek ,Action,2009
Stardust,Adventure,2007
Step Brothers,Comedy,2008
Step Up 2: The Streets,Drama,2008
Step Up 3D,Drama,2010
Stone,Drama,2010
Stop-Loss,Drama,2008
Street Fighter: The Legend of Chun-Li ,Action,2009
Street Kings,Action,2008
Sucker Punch,Action,2011
Sunshine Cleaning ,Comedy,2008
Super 8 ,Horror,2011
Superbad,Comedy,2007
Superhero Movie,Comedy,2008
Surrogates ,Action,2009
Swing Vote,Comedy,2008
Take Me Home Tonight,Comedy,2011
Take Shelter,Drama,2011
Taken ,Action,2008
Takers,Action,2010
Taking Woodstock ,Comedy,2009
Terminator Salvation ,Action,2009
The A-Team,Action,2010
The Adjustment Bureau,Thriller,2011
The Adventures of Tintin,Adventure,2011
The Artist,Drama,2011
The Back-up Plan,Comedy,2010
The Bank Job,Thriller,2008
The Beaver,Drama,2011
The Big Year,Comedy,2011
The Book of Eli        ,Action,2010
The Bounty Hunter,Action,2010
The Bourne Ultimatum,Thriller,2007
The Box ,Drama,2009
The Boy in the Striped Pyjamas,Drama,2008
The Brave One,Action,2007
The Bucket List,Drama,2007
The Change Up,Comedy,2011
The Chronicles of Narnia: Prince Caspian,Action,2008
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,2010
The Company Men,Drama,2010
The Conspirator,Drama,2010
The Crazies,Horror,2010
The Darjeeling Limited,Drama,2007
The Dark Knight,Thriller,2008
The Day the Earth Stood Still ,Thriller,2008
The Debt,Thriller,2010
The Descendants,Drama,2011
The Dilemma,Comedy,2011
The Duchess,Drama,2008
The Eagle,Action,2011
The Expendables,Action,2010
The Eye,Horror,2008
The Fighter,Drama,2010
The Final Destination ,Horror,2009
The Forbidden Kingdom,Action,2008
The Game Plan,Comedy,2007
The Girl With The Dragon Tattoo,Thriller,2011
The Golden Compass,Action,2007
The Green Hornet,Action,2011
The Hangover ,Comedy,2009
The Hangover Part II,Comedy,2011
The Happening,Thriller,2008
The Haunting in Connecticut ,Drama,2009
The Haunting of Molly Hartley,Horror,2008
The Heartbreak Kid,Comedy,2007
The Help,Drama,2011
The Hills Have Eyes 2,Horror,2007
The House Bunny,Comedy,2008
The Hurt Locker ,Drama,2008
The Ides of March,Thriller,2011
The Incredible Hulk,Action,2008
The Informant! ,Comedy,2009
The International ,Action,2009
The Invention of Lying ,Comedy,2009
The Iron Lady,Drama,2011
The Joneses,Comedy,2011
The Karate Kid,Action,2010
The Kids Are All Right,Comedy,2010
The Kingdom,Action,2007
The Kite Runner,Drama,2007
The Last Airbender,Action,2010
The Last Exorcism,Drama,2010
The Last Song,Drama,2010
The Lincoln Lawyer,Drama,2011
The Longshots,Comedy,2008
The Losers,Action,2010
The Love Guru,Comedy,2008
The Lovely Bones ,Drama,2009
The Mechanic,Action,2011
The Men Who Stare at Goats ,Comedy,2009
The Mist,Horror,2007
The Mummy: Tomb of the Dragon Emperor,Action,2008
The Muppets,Comedy,2011
The Nanny Diaries,Comedy,2007
The Other Boleyn Girl,Drama,2008
The Other Guys,Action,2010
The Pink Panther 2 ,Adventure,2009
The Proposal ,Comedy,2009
The Reaping,Horror,2007
The Rite,Horror,2011
The Road ,Adventure,2009
The Roommate,Horror,2011
The Ruins,Horror,2008
The Rum Diary,Drama,2011
The Secret Life of Bees,Drama,2008
The Simpsons Movie,Comedy,2007
The Sitter,Comedy,2011
The Soloist ,Drama,2009
The Son Of No One,Thriller,2011
The Sorcerer's Apprentice,Action,2010
The Spirit,Action,2008
The Spy Next Door,Action,2010
The Strangers,Horror,2008
The Switch,Comedy,2010
The Taking of Pelham 1 2 3 ,Action,2009
The Thing,Horror,2011
The Three Musketeers,Action,2011
The Time Traveler's Wife ,Drama,2009
The Tourist,Thriller,2010
The Tree Of Life,Drama,2011
"The Twilight Saga: Eclipse	",Drama,2010
The Twilight Saga: New Moon ,Drama,2009
The Ugly Truth ,Comedy,2009
The Unborn,Horror,2009
The Uninvited ,Drama,2009
The Visitor,Drama,2007
The Wolfman,Drama,2010
The Women,Drama,2008
The X-Files: I Want to Believe,Thriller,2008
There Will Be Blood,Drama,2007
Thor,Action,2011
Tinker Tailor Soldier Spy,Thriller,2011
TMNT,Action,2007
Tooth Fairy,Comedy,2010
Tower Heist,Comedy,2011
Traitor,Thriller,2008
Transformers,Action,2007
Transformers: Dark of the Moon,Action,2011
Transformers: Revenge of the Fallen ,Action,2009
Transporter 3,Action,2008
Trespass,Thriller,2011
Tron: Legacy,Action,2010
Tropic Thunder,Comedy,2008
True Grit,Adventure,2010
Twilight: Breaking Dawn,Romance,2011
Tyler Perry's Meet the Browns,Drama,2008
Tyler Perry's The Family That Preys,Drama,2008
Tyler Perry's Why Did I get Married,Romance,2007
Under the Same Moon,Drama,2007
Underworld: Rise of the Lycans ,Action,2009
Unknown,Thriller,2011
Unstoppable,Action,2010
Untraceable,Thriller,2008
Up in the Air ,Drama,2009
Vacancy,Comedy,2007
Valentine's Day,Comedy,2010
Valkyrie,Thriller,2008
Vampires Suck,Comedy,2010
Vanishing on 7th Street,Horror,2010
Vantage Point,Thriller,2008
W.,Drama,2008
Waiting For Forever,Romance,2010
Waitress,Romance,2007
Walk Hard: The Dewey Cox Story,Comedy,2007
Wall Street: Money Never Sleeps,Drama,2010
Wanted,Action,2008
War Horse,Drama,2011
Warrior,Action,2011
Watchmen ,Action,2009
Water For Elephants,Drama,2011
We Bought a Zoo,Comedy,2011
We Own the Night,Drama,2007
"Welcome Home, Roscoe Jenkins",Comedy,2008
What Happens in Vegas,Comedy,2008
What's Your Number,Comedy,2011
Whatever Works ,Comedy,2009
When in Rome,Comedy,2010
Where the Wild Things Are ,Adventure,2009
Whip It ,Drama,2009
Whiteout ,Action,2009
Why Did I Get Married Too?,Comedy,2010
Wild Hogs,Comedy,2007
Winter's Bone,Drama,2010
X-Men Origins: Wolverine ,Action,2009
X-Men: First Class,Action,2011
Year One ,Adventure,2009
Yes Man,Comedy,2008
Yogi Bear,Comedy,2010
You Again,Comedy,2010
You Don't Mess with the Zohan,Comedy,2008
You Will Meet a Tall Dark Stranger,Comedy,2010
Your Highness,Comedy,2011
Youth in Revolt,Comedy,2009
Zodiac,Thriller,2007
Zombieland ,Action,2009
Zookeeper,Comedy,2011
